Date,SP500_Close,SP500_Volume,VIX,Return_1d,Return_5d,MA50,MA200,Dist_MA50,Dist_MA200,Dist_52w_High,VIX_Change,Realized_Vol_10d,Volume_Ratio,Consec_Down,RSI,event_name,category,label,day_relative
2000-01-03,1455.219970703125,931800000,24.209999084472656,-0.009549109611621587,-0.0012902373991575677,1399.5319970703124,1346.7502038574219,0.03979042547750685,0.08054186035021135,-0.009549109611621576,-0.017451311518961732,0.10913342897432884,1.048062046892847,1,69.89653413644864,Dotcom Crash,Grey Swan,L-shape,0
2000-01-04,1399.4200439453125,1009000000,27.010000228881836,-0.03834466807849768,-0.039954439902820105,1401.4873974609375,1347.2622540283203,-0.0014751138821300705,0.03871391019902783,-0.04752762025161647,0.1156547397891059,0.2327079326252601,1.1290401088981006,2,48.70035367979287,Dotcom Crash,Grey Swan,L-shape,1
2000-01-05,1402.1099853515625,1085500000,26.40999984741211,0.0019221829913671495,-0.041921184879315954,1403.6569970703124,1347.962103881836,-0.0011021294532630086,0.04017018083356538,-0.0456967940435171,-0.022214008751771375,0.22393677592283398,1.2146616543456745,0,45.89913497866447,Dotcom Crash,Grey Swan,L-shape,2
2000-01-06,1403.449951171875,1092300000,25.729999542236328,0.0009556781096431433,-0.041666965353992835,1406.0877954101563,1348.6364038085937,-0.001876016737284795,0.04064368068998137,-0.044784787359622255,-0.025747834498469846,0.22352086155858483,1.213087754232841,0,44.223345808080246,Dotcom Crash,Grey Swan,L-shape,3
2000-01-07,1441.469970703125,1225200000,21.719999313354492,0.027090399268961063,-0.018907625861408928,1408.9829956054687,1349.3938037109374,0.023057038444737245,0.0682352080904559,-0.018907625861408883,-0.1558492149329166,0.2547017279340283,1.3529383508662085,0,56.06670608627097,Dotcom Crash,Grey Swan,L-shape,4
2000-01-10,1457.5999755859375,1064800000,21.709999084472656,0.011189969413615053,0.001635494929101755,1411.2861962890624,1350.2678033447266,0.0328167167075366,0.07948954420400164,-0.00792923220286711,-0.00046041570893085026,0.262026730745206,1.1707988602083974,0,60.87531819611364,Dotcom Crash,Grey Swan,L-shape,5
2000-01-11,1438.56005859375,1014000000,22.5,-0.013062511876438365,0.0279687394916055,1412.7987963867188,1350.9097534179687,0.018234204525737516,0.06488242827029359,-0.02088816838948443,0.03638880464496963,0.2702671237503278,1.1127150741618013,1,51.38387167944889,Dotcom Crash,Grey Swan,L-shape,6
2000-01-12,1432.25,974600000,22.84000015258789,-0.004386371327394056,0.02149618429604172,1414.361396484375,1351.5672534179687,0.012647830717163213,0.059695695036997454,-0.025182916453973116,0.015111117892795178,0.2690501633735162,1.0726103027158083,2,48.97332552089558,Dotcom Crash,Grey Swan,L-shape,7
2000-01-13,1449.6800537109375,1030400000,21.709999084472656,0.012169700618563484,0.032940328581336775,1416.4001977539062,1352.3838037109374,0.02349608254065882,0.07194425852558975,-0.013319684389356814,-0.04947465238905435,0.2783038409466514,1.1342402632177133,0,47.649061971020714,Dotcom Crash,Grey Swan,L-shape,8
2000-01-14,1465.1500244140625,1085900000,19.65999984741211,0.010671299962722536,0.016427712121804827,1418.6045971679687,1353.2409539794921,0.03281071225838037,0.0826970763081608,-0.0027905227741619873,-0.09442650039201239,0.2838179484237498,1.1943079277564135,0,52.02864079282676,Dotcom Crash,Grey Swan,L-shape,9
