Strategy,Total Return,Annual Return,Annual Vol,Sharpe Ratio,Max Drawdown,Calmar Ratio,Win Rate
V5 Strategy,677.94,102.68,247.57,0.415,-22.46,4.573,90.7
Buy-and-Hold,209.54,47.57,252.27,0.189,-63.92,0.744,45.0
