Date,SP500_Close,MA50,MA200,Dist_MA50,Dist_MA200,Dist_52w_High,RSI,Dist_Local_Min,VIX,VIX_Ratio,VIX_Trend_20d,SP500_Trend_20d,Realized_Vol_10d,SP500_Volume,label_daily,Return_1w,Return_4w,Volume_Ratio,label,Phase,event_name,category,week_relative
2000-01-07,1441.469970703125,1408.9829956054687,1349.3938037109374,0.023057038444737245,0.0682352080904559,-0.018907625861408883,56.06670608627097,0.030048109529189904,25.015999603271485,1.100789266326998,0.21039697690117584,1.0829529267504716,0.2088001454030072,5343800000,1.0,-0.018907625861408928,0.01724011387623703,1.2477092709914541,1,1,Dotcom Crash,Grey Swan,0
2000-01-14,1465.1500244140625,1418.6045971679687,1353.2409539794921,0.03281071225838037,0.0826970763081608,-0.0027905227741619873,52.02864079282676,0.046969443344144816,21.683999633789064,0.9635155187374818,0.07525258946239458,0.25939179614071045,0.27269316144789024,5169700000,0.0,0.016427712121804827,0.031047897797781276,1.1878118151053283,0,1,Dotcom Crash,Grey Swan,1
2000-01-21,1441.3599853515625,1425.0607958984374,1355.6814038085938,0.011437539717629518,0.06319964359049768,-0.018982484021396972,43.40879573454821,0.029969516006081273,21.447499752044678,0.9630497894594483,-0.10433273243724903,-0.4379234830239752,0.21261030337217718,4455000000,0.0,-0.01623727172377043,-0.011643362224664,0.9784007868933826,0,1,Dotcom Crash,Grey Swan,2
2000-01-28,1360.1600341796875,1425.2393994140625,1357.0128051757813,-0.04566205878193525,0.0023192330919077266,-0.07424874311404628,29.455775808625546,0.0,23.960000228881835,1.076300515075997,-0.14990524062536761,-2.104058516653017,0.1881490906870092,5532100000,0.0,-0.05633564966219695,-0.07424874311404628,1.1849149897229438,0,1,Dotcom Crash,Grey Swan,3
2000-02-04,1424.3699951171875,1424.8188012695311,1359.275855102539,-0.00031499173926099105,0.04788883711153539,-0.030546200362642505,39.22531404531128,0.04720765154390456,23.014000701904298,1.0286324868791945,0.02970833226254056,-2.9877524928042973,0.2547585934458628,5205000000,0.0,0.047207651543904605,-0.011862873270676921,1.110806110714077,0,1,Dotcom Crash,Grey Swan,4
2000-02-11,1387.1199951171875,1425.8880004882812,1360.8168041992187,-0.02718867495751281,0.019328972744018295,-0.055899271657520844,46.511730987785874,0.01982116828903854,22.886000061035155,1.0218301632801592,0.07879403250558026,-1.979934485872921,0.23305011931823555,5100800000,0.0,-0.02615191286512275,-0.05325736477264875,1.099082652327683,0,1,Dotcom Crash,Grey Swan,5
2000-02-18,1346.0899658203125,1422.593798828125,1361.8810034179687,-0.05377770736160476,-0.011595020092082053,-0.08382510408690659,36.993821977636756,0.0,23.995999908447267,1.0600417217096172,0.02859547521834932,-0.9375502966400809,0.1950767787246907,5115300000,0.0,-0.0295792933857959,-0.06609731121959284,1.0548018895621205,0,1,Dotcom Crash,Grey Swan,6
2000-02-25,1333.3599853515625,1417.7159985351564,1361.8547033691407,-0.05950134813372638,-0.02092346411631438,-0.09248937529245363,26.836336883077166,0.0,24.832499980926514,1.0845261496743521,0.05429131357293356,-3.3217588037476684,0.21490737555065942,4253900000,1.0,-0.009457005692032117,-0.019703599690229168,0.8470614004520156,1,2,Dotcom Crash,Grey Swan,7
2000-03-03,1409.1700439453125,1413.314599609375,1362.6656536865235,-0.002932507500600305,0.034127513328729736,-0.04089158145631275,55.80845108828469,0.05685640744180681,21.99199981689453,0.9560058900356628,0.08229470962868561,-3.3001029796170465,0.21771417424635153,5853800000,0.0,0.056856407441806756,-0.010671350298013249,1.1510313231216942,0,2,Dotcom Crash,Grey Swan,8
2000-03-10,1395.0699462890625,1406.067998046875,1364.392802734375,-0.007821849137516422,0.02248409951533573,-0.050488380950102094,60.93400855876576,0.04628154558067763,22.615999603271483,0.9801917912419535,-0.09677595669165631,0.26926893650137185,0.22933648759597092,5807900000,0.0,-0.010005958980488505,0.005731264201986663,1.1243690076904835,0,2,Dotcom Crash,Grey Swan,9
